sample_idx,target_smiles,step,token_id,token_text,entropy,varentropy
0,CC(C)(O)P(=O)(Oc1ccccc1)Oc1ccccc1,0,16,C,0.5012117028236389,1.2725565433502197
0,CC(C)(O)P(=O)(Oc1ccccc1)Oc1ccccc1,1,16,C,1.228721261024475,2.2420103549957275
0,CC(C)(O)P(=O)(Oc1ccccc1)Oc1ccccc1,2,17,(,1.876037359237671,2.3991053104400635
0,CC(C)(O)P(=O)(Oc1ccccc1)Oc1ccccc1,3,16,C,1.0486234426498413,1.7741007804870605
0,CC(C)(O)P(=O)(Oc1ccccc1)Oc1ccccc1,4,18,),0.18322980403900146,1.1196293830871582
0,CC(C)(O)P(=O)(Oc1ccccc1)Oc1ccccc1,5,17,(,1.4631723165512085,2.1852755546569824
0,CC(C)(O)P(=O)(Oc1ccccc1)Oc1ccccc1,6,16,C,0.6710155606269836,1.4150010347366333
0,CC(C)(O)P(=O)(Oc1ccccc1)Oc1ccccc1,7,18,),0.9659914970397949,2.3859519958496094
0,CC(C)(O)P(=O)(Oc1ccccc1)Oc1ccccc1,8,16,C,1.5020084381103516,2.225099563598633
0,CC(C)(O)P(=O)(Oc1ccccc1)Oc1ccccc1,9,17,(,1.6477974653244019,1.9437278509140015
0,CC(C)(O)P(=O)(Oc1ccccc1)Oc1ccccc1,10,22,=,0.8765814304351807,1.6205122470855713
0,CC(C)(O)P(=O)(Oc1ccccc1)Oc1ccccc1,11,19,O,0.3493158221244812,0.8826926946640015
0,CC(C)(O)P(=O)(Oc1ccccc1)Oc1ccccc1,12,18,),0.023410476744174957,0.25143668055534363
0,CC(C)(O)P(=O)(Oc1ccccc1)Oc1ccccc1,13,19,O,1.353208065032959,1.817524790763855
0,CC(C)(O)P(=O)(Oc1ccccc1)Oc1ccccc1,14,16,C,1.2373377084732056,2.6950292587280273
0,CC(C)(O)P(=O)(Oc1ccccc1)Oc1ccccc1,15,16,C,1.7842599153518677,2.132014036178589
0,CC(C)(O)P(=O)(Oc1ccccc1)Oc1ccccc1,16,19,O,2.0016636848449707,1.8153963088989258
0,CC(C)(O)P(=O)(Oc1ccccc1)Oc1ccccc1,17,15,c,0.31919050216674805,1.893104076385498
0,CC(C)(O)P(=O)(Oc1ccccc1)Oc1ccccc1,18,20,1,0.0271869208663702,0.29197070002555847
0,CC(C)(O)P(=O)(Oc1ccccc1)Oc1ccccc1,19,15,c,0.013923518359661102,0.16040584444999695
